,start,end,studentid,transcript
21,0:01:40,0:01:41,41327c6b-fe54-449a-94aa-09f0b291dd58,going guys.
22,0:01:42,0:01:43,41327c6b-fe54-449a-94aa-09f0b291dd58,so.
23,0:01:44,0:01:48,41327c6b-fe54-449a-94aa-09f0b291dd58," do you want to do, like a first icebreaker activity."
24,0:01:50,0:01:59,41327c6b-fe54-449a-94aa-09f0b291dd58," right hi, this is the first time i guess you're actually interacting in nra and so far, it was just like talking head and you know kind of worry i feel you."
25,0:02:00,0:02:02,41327c6b-fe54-449a-94aa-09f0b291dd58,so yeah.
26,0:02:03,0:02:04,41327c6b-fe54-449a-94aa-09f0b291dd58,how do you want to go.
27,0:02:05,0:02:06,41327c6b-fe54-449a-94aa-09f0b291dd58,with the icebreaker.
28,0:02:08,0:02:11,41327c6b-fe54-449a-94aa-09f0b291dd58,we can just start simply like.
29,0:02:12,0:02:14,41327c6b-fe54-449a-94aa-09f0b291dd58,how do you say your name vary from.
30,0:02:16,0:02:20,41327c6b-fe54-449a-94aa-09f0b291dd58," then, something maybe interesting like where, will you like to be."
31,0:02:22,0:02:26,41327c6b-fe54-449a-94aa-09f0b291dd58,like what's your favorite holiday how they place vacation place.
32,0:02:27,0:02:44,41327c6b-fe54-449a-94aa-09f0b291dd58," and, and then the boring part like maybe for others, what are you working on what are you planning to continue working on stuff yeah how's that i mean you can add more i mean this is the boring stuff like came to my mind."
33,0:02:46,0:02:47,41327c6b-fe54-449a-94aa-09f0b291dd58,wants to go first.
34,0:02:50,0:02:52,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,i can go first.
35,0:02:53,0:02:57,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb," everyone and it today, or you can call them tip for short it's easier."
36,0:02:59,0:03:10,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,i am working at in delia during computation on cross could be stuck and i'll be starting my phd at johns hopkins in.
37,0:03:11,0:03:17,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb," in september, but right now i'm actually visiting my parents house so i'm in florida right now."
38,0:03:21,0:03:24,41327c6b-fe54-449a-94aa-09f0b291dd58," so where do you like, to be on vacation where's your."
39,0:03:24,0:03:25,41327c6b-fe54-449a-94aa-09f0b291dd58,vacation.
40,0:03:25,0:03:28,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,yeah i haven't heard about vacation a long time.
41,0:03:28,0:03:34,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb," it's a good question now probably go visit my family in india, you know it's cool yeah."
42,0:03:38,0:03:38,41327c6b-fe54-449a-94aa-09f0b291dd58,so.
43,0:03:40,0:03:40,41327c6b-fe54-449a-94aa-09f0b291dd58,right away.
44,0:03:42,0:03:47,fc07718b-853d-4a8f-8fd8-3c08aa713ede," i'm air i'm in canada toronto, right now, originally from montreal."
45,0:03:48,0:03:57,fc07718b-853d-4a8f-8fd8-3c08aa713ede," mom i, what do i do now, i do research at johns hopkins i finished my masters, like last year, so yeah definitely starting with do you know."
46,0:03:58,0:04:05,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,i'm at johns hopkins also i'm doing this like to do each one program so i'm probably just going to keep working with my.
47,0:04:05,0:04:08,fc07718b-853d-4a8f-8fd8-3c08aa713ede,current revenue okay got it yeah.
48,0:04:10,0:04:15,fc07718b-853d-4a8f-8fd8-3c08aa713ede,and yeah favorite vacation place new york.
49,0:04:17,0:04:19,41327c6b-fe54-449a-94aa-09f0b291dd58,the hustle and bustle nice.
50,0:04:23,0:04:26,a1958a61-a8ce-4002-9980-c66db01f95fe,playing your next things name_2.
51,0:04:27,0:04:35,a1958a61-a8ce-4002-9980-c66db01f95fe,i'm from and currently live in chicago i'm i went to johns hopkins as an undergrad.
52,0:04:39,0:04:40,a1958a61-a8ce-4002-9980-c66db01f95fe,and science.
53,0:04:42,0:04:59,a1958a61-a8ce-4002-9980-c66db01f95fe,and currently i'm at northwestern i'm a second year phd student in name_3s lab we're doing ruin decision making it kind of like a variety different methods are and two photon.
54,0:05:00,0:05:01,a1958a61-a8ce-4002-9980-c66db01f95fe,what will the madrid.
55,0:05:03,0:05:12,a1958a61-a8ce-4002-9980-c66db01f95fe,and i recently went to glacier park in western and it was gorgeous.
56,0:05:14,0:05:15,a1958a61-a8ce-4002-9980-c66db01f95fe,a lot of hiking.
57,0:05:16,0:05:16,41327c6b-fe54-449a-94aa-09f0b291dd58,oh.
58,0:05:18,0:05:19,41327c6b-fe54-449a-94aa-09f0b291dd58,nice.
59,0:05:20,0:05:23,0b2e580e-b701-42a7-a355-253910aa8871," well, i i cannot break the name_4 hopkins chain."
60,0:05:26,0:05:27,41327c6b-fe54-449a-94aa-09f0b291dd58," okay, good."
61,0:05:30,0:05:40,0b2e580e-b701-42a7-a355-253910aa8871,name_1 you're a grad student at princeton right now i'm studying attention and awareness and trying to develop some commutation models.
62,0:05:41,0:05:45,0b2e580e-b701-42a7-a355-253910aa8871,for kind of associating the two um.
63,0:05:47,0:05:50,0b2e580e-b701-42a7-a355-253910aa8871,yeah and i just got back from a backpacking trip actually.
64,0:05:52,0:06:07,0b2e580e-b701-42a7-a355-253910aa8871," on friday, so i'm fresh off the mountains and back into the zoom world so i'm kind of missed the mountains already but but yeah enjoy the hike and happy to be back doing science stuff."
65,0:06:09,0:06:10,fc07718b-853d-4a8f-8fd8-3c08aa713ede,name_1 do you work with name_5.
66,0:06:11,0:06:14,0b2e580e-b701-42a7-a355-253910aa8871,i do yeah so cool i love.
67,0:06:15,0:06:16,41327c6b-fe54-449a-94aa-09f0b291dd58,consciousness anyway.
68,0:06:16,0:06:17,fc07718b-853d-4a8f-8fd8-3c08aa713ede,yeah yeah.
69,0:06:17,0:06:18,0b2e580e-b701-42a7-a355-253910aa8871,we'll have to talk more about it.
70,0:06:21,0:06:27,29ed6943-18c9-4b1d-ab32-b1a83df77d84,so i'm name_6roon i also name_6ve no affiliation with name_9 i'm in philadelphia.
71,0:06:28,0:06:34,29ed6943-18c9-4b1d-ab32-b1a83df77d84,at temple university my lab focused on social cognition and we're trying to get into like cerebellum and do some competition modeling.
72,0:06:37,0:06:43,29ed6943-18c9-4b1d-ab32-b1a83df77d84," data verification base i think i'd actually just want to go to canada, i am going to toronto area, so i haven't seen them since like be pandemic."
73,0:06:44,0:06:54,29ed6943-18c9-4b1d-ab32-b1a83df77d84," and yeah that's about it, no exciting place to visit yeah i guess once confidence get started up will be excited just go anywhere, those are hosted again."
74,0:06:56,0:07:13,41327c6b-fe54-449a-94aa-09f0b291dd58," oh alright, so i feel so bad, i have the least computational neuroscience background, as you guys do i'm pure let's say engineer right now i'm doing machine learning stuff i did in undergrad do some conditional stuff like the mri."
75,0:07:14,0:07:15,41327c6b-fe54-449a-94aa-09f0b291dd58,but yeah.
76,0:07:16,0:07:26,41327c6b-fe54-449a-94aa-09f0b291dd58,so right now i'm in turkey ankara doing my industry work but planning to join and.
77,0:07:27,0:07:30,41327c6b-fe54-449a-94aa-09f0b291dd58,go back to academia in montreal in this fall.
78,0:07:32,0:07:36,41327c6b-fe54-449a-94aa-09f0b291dd58,to yeah continue doing research with the machine learning and medical imaging stuff.
79,0:07:38,0:07:50,41327c6b-fe54-449a-94aa-09f0b291dd58,yeah but vacation i don't know about that i've been stuck here for 10 years but i'm so excited about montreal it's i mean my favorite place to go and see let's see how it goes.
80,0:07:51,0:07:53,41327c6b-fe54-449a-94aa-09f0b291dd58,yay so.
81,0:07:55,0:08:00,41327c6b-fe54-449a-94aa-09f0b291dd58," all right, you guys give me one second i might take out came i'll just take it."
82,0:08:07,0:08:08,29ed6943-18c9-4b1d-ab32-b1a83df77d84,how many students do you guys have for the people.
83,0:08:10,0:08:17,fc07718b-853d-4a8f-8fd8-3c08aa713ede,i have one student who has message at all on discord and i haven't online and he's.
84,0:08:18,0:08:19,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,so fun.
85,0:08:21,0:08:22,41327c6b-fe54-449a-94aa-09f0b291dd58,we're going.
86,0:08:25,0:08:33,a1958a61-a8ce-4002-9980-c66db01f95fe,to but i've had other people like message and just not mentioned the pre course so i'm not sure i could have been at least.
87,0:08:35,0:08:36,29ed6943-18c9-4b1d-ab32-b1a83df77d84,at least five.
88,0:08:38,0:08:44,41327c6b-fe54-449a-94aa-09f0b291dd58,yeah i go mostly all missing some students right in this court i missing i think three.
89,0:08:45,0:08:46,41327c6b-fe54-449a-94aa-09f0b291dd58,i mean.
90,0:08:46,0:08:50,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,i don't think we can see who is in our discourse anyway.
91,0:08:50,0:08:51,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,yeah it might not be there.
92,0:08:51,0:08:51,,because.
93,0:08:53,0:08:54,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,they're probably all there.
94,0:08:55,0:08:57,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,you just can't see them because they're fine.
95,0:08:58,0:09:01,41327c6b-fe54-449a-94aa-09f0b291dd58," oh yeah oh, we have other visitors."
96,0:09:02,0:09:02,4541350f-a10b-4b53-892c-31b181194b68,hi everyone.
97,0:09:03,0:09:03,41327c6b-fe54-449a-94aa-09f0b291dd58,hey guys.
98,0:09:04,0:09:08,18148f2b-482a-4de9-8b89-79b42bdeb88a,i just arrived from the group project us hello.
99,0:09:09,0:09:14,41327c6b-fe54-449a-94aa-09f0b291dd58,nice nice villa be working with our students in the same slot.
100,0:09:16,0:09:18,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,i think they work with all the students.
101,0:09:19,0:09:20,41327c6b-fe54-449a-94aa-09f0b291dd58,so name_10 not.
102,0:09:20,0:09:23,41327c6b-fe54-449a-94aa-09f0b291dd58,for particular slots for particular time zones.
103,0:09:24,0:09:26,18148f2b-482a-4de9-8b89-79b42bdeb88a,yeah for now we're just randomly assigned us.
104,0:09:27,0:09:29,41327c6b-fe54-449a-94aa-09f0b291dd58,cocoa yeah.
105,0:09:29,0:09:46,a1958a61-a8ce-4002-9980-c66db01f95fe," i'm for the project, i was a little confused so there's there's 15 days on the schedule for the projects, but because our slot has the project before the tutorial like they were saying that we shouldn't meet during the time on the first day."
106,0:09:47,0:09:49,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,that we were you were.
107,0:09:49,0:09:53,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,seeing very seeing that the project is before the tutorial.
108,0:09:54,0:09:54,a1958a61-a8ce-4002-9980-c66db01f95fe,oh.
109,0:09:54,0:09:57,a1958a61-a8ce-4002-9980-c66db01f95fe,my calendar where are you slide five.
110,0:09:57,0:09:58,41327c6b-fe54-449a-94aa-09f0b291dd58,yeah it's.
111,0:09:59,0:09:59,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,more.
112,0:10:01,0:10:04,41327c6b-fe54-449a-94aa-09f0b291dd58,it's not for its first project and tutorials.
113,0:10:05,0:10:07,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,wait okay why isn't my calendar show that.
114,0:10:09,0:10:17,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,so on the fifth i see intro 1pm tutorials and then a break and then tutorials and unnatural.
115,0:10:17,0:10:20,a1958a61-a8ce-4002-9980-c66db01f95fe,i don't think project times are on the calendar.
116,0:10:20,0:10:21,41327c6b-fe54-449a-94aa-09f0b291dd58,yeah probably.
117,0:10:21,0:10:23,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,are they not go ahead yeah.
118,0:10:23,0:10:24,41327c6b-fe54-449a-94aa-09f0b291dd58,it's before.
119,0:10:24,0:10:25,,you start like.
120,0:10:26,0:10:37,41327c6b-fe54-449a-94aa-09f0b291dd58," but, but still i think you need to enter to open the zoom link for them and do your like little guidance, the 3040 minutes."
121,0:10:39,0:10:50,41327c6b-fe54-449a-94aa-09f0b291dd58," yeah that that's very flexible like how we would like to you know, force them into the breakout rooms and you know, make them busy and start it's really up to you, but the tutorial."
122,0:10:51,0:11:03,41327c6b-fe54-449a-94aa-09f0b291dd58," is very straightforward like in terms of the system, most people are using so that we are going to practice that right now, how will we go actually through a couple of."
123,0:11:06,0:11:08,41327c6b-fe54-449a-94aa-09f0b291dd58,tactics will say to do it.
124,0:11:10,0:11:13,41327c6b-fe54-449a-94aa-09f0b291dd58," so, how would you like to start."
125,0:11:14,0:11:18,41327c6b-fe54-449a-94aa-09f0b291dd58,if yeah so the plan is to first.
126,0:11:19,0:11:24,41327c6b-fe54-449a-94aa-09f0b291dd58," practice everybody, be able to create their own breakout rooms."
127,0:11:26,0:11:26,,so.
128,0:11:28,0:11:41,0b2e580e-b701-42a7-a355-253910aa8871,can i follow up on name_11 question real quick to that because if the if the project time slot is before the actual tutorials we have that three hour period designated towards walking them through kind of developing ideas.
129,0:11:42,0:11:59,0b2e580e-b701-42a7-a355-253910aa8871," are are they expected to have some prior knowledge of what like ideas to come up with or how do we kind of like do we just have to present to them, i guess, on some of those ideas, because they seem to be at a disadvantage to not having any of the tutorial stuff before the project."
130,0:12:03,0:12:12,41327c6b-fe54-449a-94aa-09f0b291dd58,so so on the first day i don't think there is project meeting is there that does it start from for it doesn't start from first day right so.
131,0:12:13,0:12:15,41327c6b-fe54-449a-94aa-09f0b291dd58,the project meeting starts from second day.
132,0:12:17,0:12:18,41327c6b-fe54-449a-94aa-09f0b291dd58,so i think.
133,0:12:19,0:12:23,0b2e580e-b701-42a7-a355-253910aa8871," okay, so we're just we're just skipping project first day and then second day that's one."
134,0:12:23,0:12:28,41327c6b-fe54-449a-94aa-09f0b291dd58," yeah so so you won't start directly project, you will start with the first day and then."
135,0:12:29,0:12:41,41327c6b-fe54-449a-94aa-09f0b291dd58," yeah and the first day is very helpful for the project selection, because i mean name_12 was talking about types of model and what kind of questions to ask and stuff so it's very useful."
136,0:12:42,0:12:46,0b2e580e-b701-42a7-a355-253910aa8871,name_13 thank you so so the first day actually second day.
137,0:12:46,0:13:04,41327c6b-fe54-449a-94aa-09f0b291dd58," meeting for the project is very important as a ta because that's the most common distribution probably will make because afterwards they will be mostly working with the project, yes, other than like very high level guidance, that they will be."
138,0:13:06,0:13:07,41327c6b-fe54-449a-94aa-09f0b291dd58," asked from you, i guess."
139,0:13:09,0:13:11,41327c6b-fe54-449a-94aa-09f0b291dd58,yeah but who is the host right now.
140,0:13:16,0:13:19,41327c6b-fe54-449a-94aa-09f0b291dd58,but i don't seem no i don't.
141,0:13:20,0:13:21,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,need to claim host.
142,0:13:23,0:13:24,41327c6b-fe54-449a-94aa-09f0b291dd58," okay, from."
143,0:13:26,0:13:28,41327c6b-fe54-449a-94aa-09f0b291dd58,that me.
144,0:13:28,0:13:29,fc07718b-853d-4a8f-8fd8-3c08aa713ede,how do we tell her host.
145,0:13:30,0:13:32,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,you'll you'll see like extra controls.
146,0:13:32,0:13:34,41327c6b-fe54-449a-94aa-09f0b291dd58,yeah do you see like the breakout.
147,0:13:34,0:13:35,41327c6b-fe54-449a-94aa-09f0b291dd58,options the.
148,0:13:37,0:13:39,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,thing i think currently no one's folks.
149,0:13:39,0:13:46,41327c6b-fe54-449a-94aa-09f0b291dd58," oh, i see the problem you can not login with my zoom account that's the first mistake."
150,0:13:47,0:14:02,41327c6b-fe54-449a-94aa-09f0b291dd58,mistake is that you're supposed to enter like login to zoom with your normal account so that once you enter you're the host actually so i gotta leave and come back because i'm just like you there's no host.
151,0:14:03,0:14:10,687cf1e0-ac67-4506-830c-47ea2cb14d8b," all right, yes, you can claim host now right now, but using the password in the email sent to us."
152,0:14:12,0:14:12,41327c6b-fe54-449a-94aa-09f0b291dd58,yeah.
153,0:14:12,0:14:13,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,use the same.
154,0:14:14,0:14:14,687cf1e0-ac67-4506-830c-47ea2cb14d8b,yeah.
155,0:14:15,0:14:16,,it wasn't that hard.
156,0:14:17,0:14:24,a1958a61-a8ce-4002-9980-c66db01f95fe,if you open up the participants tab there's like a button at the bottom that says claim host man.
157,0:14:24,0:14:25,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,you gotta click.
158,0:14:25,0:14:27,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,click click the dots and then click.
159,0:14:29,0:14:31,a1958a61-a8ce-4002-9980-c66db01f95fe,yeah that's interesting.
160,0:14:31,0:14:33,41327c6b-fe54-449a-94aa-09f0b291dd58,i don't seem to be able to.
161,0:14:35,0:14:41,41327c6b-fe54-449a-94aa-09f0b291dd58," do so so under participants, on my own name, there should be dots."
162,0:14:41,0:14:45,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb," know at the at the bottom at the bottom, where it."
163,0:14:45,0:14:46,41327c6b-fe54-449a-94aa-09f0b291dd58,might be uh huh.
164,0:14:47,0:14:50,41327c6b-fe54-449a-94aa-09f0b291dd58,yeah no no feature so where is the key.
165,0:14:52,0:14:56,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb," so, in your email where they sent you your zoom link."
166,0:14:57,0:15:04,41327c6b-fe54-449a-94aa-09f0b291dd58,it's the same actually procedure like i did login in or entering.
167,0:15:07,0:15:11,41327c6b-fe54-449a-94aa-09f0b291dd58,is it a permanent meeting id or the permanent password or.
168,0:15:11,0:15:14,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,not it's a different number.
169,0:15:17,0:15:18,fc07718b-853d-4a8f-8fd8-3c08aa713ede,i think it's called plane posts and they.
170,0:15:18,0:15:20,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,said yeah they just label students in china.
171,0:15:23,0:15:28,687cf1e0-ac67-4506-830c-47ea2cb14d8b,maybe you can click on the sign into claim host maybe that works.
172,0:15:32,0:15:40,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb," so, once you click claim host key it'll ask you for this number right, and then you put in the they gave you a claim host key number it's a separate number."
173,0:15:41,0:15:44,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,in in the thing where they can resume.
174,0:15:52,0:15:54,fc07718b-853d-4a8f-8fd8-3c08aa713ede,or maybe just faster to walk into.
175,0:15:55,0:15:59,41327c6b-fe54-449a-94aa-09f0b291dd58," yeah okay, if i finally found it searching through my emails."
176,0:16:00,0:16:01,41327c6b-fe54-449a-94aa-09f0b291dd58,i got it.
177,0:16:02,0:16:06,41327c6b-fe54-449a-94aa-09f0b291dd58,so we should be able to do this every day right we don't need to log in with.
178,0:16:07,0:16:10,41327c6b-fe54-449a-94aa-09f0b291dd58,an automatic and we can each time claim host right.
179,0:16:12,0:16:12,41327c6b-fe54-449a-94aa-09f0b291dd58,cool.
180,0:16:13,0:16:15,41327c6b-fe54-449a-94aa-09f0b291dd58," all right, alright so."
181,0:16:18,0:16:24,41327c6b-fe54-449a-94aa-09f0b291dd58,what we should be doing is practicing the breakout room so i'll just rotate around the host.
182,0:16:25,0:16:28,41327c6b-fe54-449a-94aa-09f0b291dd58," so, each one can practice right."
183,0:16:29,0:16:45,41327c6b-fe54-449a-94aa-09f0b291dd58," so, first let me do it, i have been practicing for one year since last year, so i'll create how many we are let's say yeah let's create three breakout rooms, we will be at least three people in one."
184,0:16:48,0:16:56,41327c6b-fe54-449a-94aa-09f0b291dd58," so i first say assign automatically, but i can actually reorder."
185,0:17:00,0:17:07,41327c6b-fe54-449a-94aa-09f0b291dd58," i created two okay let's just do two so after i opened, i think you will see."
186,0:17:08,0:17:09,41327c6b-fe54-449a-94aa-09f0b291dd58,notification.
187,0:17:11,0:17:11,41327c6b-fe54-449a-94aa-09f0b291dd58,that.
188,0:17:12,0:17:19,41327c6b-fe54-449a-94aa-09f0b291dd58," says to go and join it will go join yours, so you can go and then."
189,0:17:21,0:17:24,41327c6b-fe54-449a-94aa-09f0b291dd58,i'll message you to like come back once the order.
190,0:17:58,0:18:04,41327c6b-fe54-449a-94aa-09f0b291dd58," nice nice so close all the rooms, a timer started."
191,0:18:05,0:18:07,41327c6b-fe54-449a-94aa-09f0b291dd58,did you see that timer as well.
192,0:18:07,0:18:09,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,yeah yeah cool.
193,0:18:09,0:18:11,41327c6b-fe54-449a-94aa-09f0b291dd58,so that's like a good way of.
194,0:18:12,0:18:15,41327c6b-fe54-449a-94aa-09f0b291dd58," you know, forcing students to finish up."
195,0:18:17,0:18:23,41327c6b-fe54-449a-94aa-09f0b291dd58,so that they come back exactly on time after one minute okay so.
196,0:18:24,0:18:32,41327c6b-fe54-449a-94aa-09f0b291dd58,let's see if everybody can recreate like practice this so let's start with.
197,0:18:33,0:18:34,41327c6b-fe54-449a-94aa-09f0b291dd58,heroin do you want to go next.
198,0:18:35,0:18:38,41327c6b-fe54-449a-94aa-09f0b291dd58,okay i'll make you a host.
199,0:18:40,0:18:41,41327c6b-fe54-449a-94aa-09f0b291dd58,or host now.
200,0:18:51,0:18:55,41327c6b-fe54-449a-94aa-09f0b291dd58," this time, maybe we can create three if to lay target."
201,0:19:25,0:19:26,29ed6943-18c9-4b1d-ab32-b1a83df77d84,hey you haven't trouble.
202,0:19:50,0:19:50,41327c6b-fe54-449a-94aa-09f0b291dd58,fun.
203,0:19:52,0:19:52,41327c6b-fe54-449a-94aa-09f0b291dd58,so.
204,0:19:52,0:19:53,41327c6b-fe54-449a-94aa-09f0b291dd58,who wants to.
205,0:19:53,0:19:54,41327c6b-fe54-449a-94aa-09f0b291dd58,go next.
206,0:19:56,0:19:58,41327c6b-fe54-449a-94aa-09f0b291dd58,other side of the.
207,0:19:59,0:20:01,41327c6b-fe54-449a-94aa-09f0b291dd58,table so yeah.
208,0:20:03,0:20:05,41327c6b-fe54-449a-94aa-09f0b291dd58,anybody else would like to go.
209,0:20:07,0:20:08,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,yeah can go.
210,0:20:09,0:20:10,41327c6b-fe54-449a-94aa-09f0b291dd58,so i guess.
211,0:20:12,0:20:13,41327c6b-fe54-449a-94aa-09f0b291dd58,to make me host.
212,0:20:13,0:20:13,,yeah.
213,0:20:17,0:20:17,29ed6943-18c9-4b1d-ab32-b1a83df77d84,all right.
214,0:20:19,0:20:20,18148f2b-482a-4de9-8b89-79b42bdeb88a,well.
215,0:20:33,0:20:36,41327c6b-fe54-449a-94aa-09f0b291dd58," at this time, maybe you can also."
216,0:20:37,0:20:41,41327c6b-fe54-449a-94aa-09f0b291dd58,try to rearrange us after.
217,0:20:43,0:21:01,41327c6b-fe54-449a-94aa-09f0b291dd58," we are automatically assigned because sometimes you want to actually play the god and arrange them after chance level, because you remember, they said, sometimes there are good programmers and you want to assign them equally distributed equally."
218,0:21:02,0:21:03,41327c6b-fe54-449a-94aa-09f0b291dd58,yeah.
219,0:21:59,0:22:01,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,you guys see my broadcasted message.
220,0:22:02,0:22:03,41327c6b-fe54-449a-94aa-09f0b291dd58,right.
221,0:22:04,0:22:08,41327c6b-fe54-449a-94aa-09f0b291dd58," by the way, the recording doesn't happen in the breakout rooms right so that's a."
222,0:22:11,0:22:16,41327c6b-fe54-449a-94aa-09f0b291dd58," safe space, you can comfort the students, you know if they are feeling."
223,0:22:18,0:22:19,41327c6b-fe54-449a-94aa-09f0b291dd58,uncomfortable.
224,0:22:20,0:22:23,4541350f-a10b-4b53-892c-31b181194b68," i was a broadcast message, because i didn't see anything actually."
225,0:22:24,0:22:26,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb," i just said so, but."
226,0:22:27,0:22:32,41327c6b-fe54-449a-94aa-09f0b291dd58,i saw it on the top like not in the chats but like.
227,0:22:32,0:22:34,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb," if, like a banner."
228,0:22:35,0:22:45,41327c6b-fe54-449a-94aa-09f0b291dd58,yeah so so it looks like only the host can send a message to everyone else the when you're in breakout your chat will be private to that breakout you cannot.
229,0:22:46,0:22:57,41327c6b-fe54-449a-94aa-09f0b291dd58," even though it says to everyone, when you write only the students in your breakout room sees so it looks like they're kind of completely isolated in the breakout rooms."
230,0:22:59,0:23:00,41327c6b-fe54-449a-94aa-09f0b291dd58,okay.
231,0:23:01,0:23:03,41327c6b-fe54-449a-94aa-09f0b291dd58,so anybody else wants to go.
232,0:23:09,0:23:10,41327c6b-fe54-449a-94aa-09f0b291dd58,cool.
233,0:23:12,0:23:13,41327c6b-fe54-449a-94aa-09f0b291dd58,yes.
234,0:23:13,0:23:15,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,wait it was name_2.
235,0:23:18,0:23:20,41327c6b-fe54-449a-94aa-09f0b291dd58," by a you said, your project yes."
236,0:23:21,0:23:25,41327c6b-fe54-449a-94aa-09f0b291dd58," yeah okay, that is, i guess you don't need practice with this do you."
237,0:23:26,0:23:27,18148f2b-482a-4de9-8b89-79b42bdeb88a," know, i was just curious to try."
238,0:23:53,0:23:53,18148f2b-482a-4de9-8b89-79b42bdeb88a,what.
239,0:23:55,0:23:55,18148f2b-482a-4de9-8b89-79b42bdeb88a,did.
240,0:23:56,0:23:57,18148f2b-482a-4de9-8b89-79b42bdeb88a,you want to sign.
241,0:24:01,0:24:03,18148f2b-482a-4de9-8b89-79b42bdeb88a,because he divided people in.
242,0:24:04,0:24:10,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb," yeah those are the those are the rooms, that i made so you need to like reset it."
