start,end,studentid,transcript
0:03:11,0:03:17,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb," In September, but right now i'm actually visiting my parents House so i'm in Florida right now."
0:03:21,0:03:24,41327c6b-fe54-449a-94aa-09f0b291dd58," So where do you like, to be on vacation where's your."
0:03:24,0:03:25,41327c6b-fe54-449a-94aa-09f0b291dd58,vacation.
0:03:25,0:03:28,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,yeah I haven't heard about vacation a long time.
0:03:28,0:03:34,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb," it's a good question now probably go visit my family in India, you know it's cool yeah."
0:03:38,0:03:38,41327c6b-fe54-449a-94aa-09f0b291dd58,So.
0:03:40,0:03:40,41327c6b-fe54-449a-94aa-09f0b291dd58,right away.
0:03:42,0:03:47,fc07718b-853d-4a8f-8fd8-3c08aa713ede," i'm air i'm in Canada Toronto, right now, originally from Montreal."
0:03:48,0:03:57,fc07718b-853d-4a8f-8fd8-3c08aa713ede," mom I, what do I do now, I do research at Johns Hopkins I finished my masters, like last year, so yeah definitely starting with do you know."
0:03:58,0:04:05,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,i'm at Johns Hopkins also i'm doing this like to do each one program so i'm probably just going to keep working with my.
0:04:05,0:04:08,fc07718b-853d-4a8f-8fd8-3c08aa713ede,Current revenue okay got it yeah.
0:04:10,0:04:15,fc07718b-853d-4a8f-8fd8-3c08aa713ede,And yeah favorite vacation place New York.
0:04:17,0:04:19,41327c6b-fe54-449a-94aa-09f0b291dd58,The hustle and bustle Nice.
0:04:23,0:04:26,a1958a61-a8ce-4002-9980-c66db01f95fe,Playing your next things Peter.
0:04:27,0:04:35,a1958a61-a8ce-4002-9980-c66db01f95fe,i'm from and currently live in Chicago i'm I went to Johns Hopkins as an undergrad.
0:04:39,0:04:40,a1958a61-a8ce-4002-9980-c66db01f95fe,and science.
0:04:42,0:04:59,a1958a61-a8ce-4002-9980-c66db01f95fe,And currently i'm at northwestern i'm a second year PhD student in Lucas pintos lab we're doing ruin decision making it kind of like a variety different methods are and two photon.
0:05:00,0:05:01,a1958a61-a8ce-4002-9980-c66db01f95fe,What will the Madrid.
0:05:03,0:05:12,a1958a61-a8ce-4002-9980-c66db01f95fe,And I recently went to glacier park in western and it was gorgeous.
0:05:14,0:05:15,a1958a61-a8ce-4002-9980-c66db01f95fe,A lot of hiking.
0:05:16,0:05:16,41327c6b-fe54-449a-94aa-09f0b291dd58,Oh.
0:05:18,0:05:19,41327c6b-fe54-449a-94aa-09f0b291dd58,Nice.
0:05:20,0:05:23,0b2e580e-b701-42a7-a355-253910aa8871," Well, I I cannot break the john Hopkins chain."
0:05:26,0:05:27,41327c6b-fe54-449a-94aa-09f0b291dd58," Okay, good."
0:05:30,0:05:40,0b2e580e-b701-42a7-a355-253910aa8871,Isaac you're a Grad student at princeton right now i'm studying attention and awareness and trying to develop some commutation models.
0:05:41,0:05:45,0b2e580e-b701-42a7-a355-253910aa8871,For kind of associating the two um.
0:05:47,0:05:50,0b2e580e-b701-42a7-a355-253910aa8871,yeah and I just got back from a backpacking trip actually.
0:05:52,0:06:07,0b2e580e-b701-42a7-a355-253910aa8871," On Friday, so i'm fresh off the mountains and back into the zoom world so i'm kind of missed the mountains already but but yeah enjoy the hike and happy to be back doing science stuff."
0:06:09,0:06:10,fc07718b-853d-4a8f-8fd8-3c08aa713ede,Isaac do you work with Graziano.
0:06:11,0:06:14,0b2e580e-b701-42a7-a355-253910aa8871,I do yeah so cool I love.
0:06:15,0:06:16,41327c6b-fe54-449a-94aa-09f0b291dd58,consciousness anyway.
0:06:16,0:06:17,fc07718b-853d-4a8f-8fd8-3c08aa713ede,yeah yeah.
0:06:17,0:06:18,0b2e580e-b701-42a7-a355-253910aa8871,we'll have to talk more about it.
0:06:21,0:06:27,29ed6943-18c9-4b1d-ab32-b1a83df77d84,So i'm haroon I also have no affiliation with john robbins i'm in Philadelphia.
0:06:28,0:06:34,29ed6943-18c9-4b1d-ab32-b1a83df77d84,At temple university my lab focused on social cognition and we're trying to get into like cerebellum and do some competition modeling.
0:06:37,0:06:43,29ed6943-18c9-4b1d-ab32-b1a83df77d84," Data verification base I think i'd actually just want to go to Canada, I am going to Toronto area, so I haven't seen them since like be pandemic."
0:06:44,0:06:54,29ed6943-18c9-4b1d-ab32-b1a83df77d84," And yeah that's about it, no exciting place to visit yeah I guess once confidence get started up will be excited just go anywhere, those are hosted again."
0:06:56,0:07:13,41327c6b-fe54-449a-94aa-09f0b291dd58," Oh alright, so I feel so bad, I have the least computational neuroscience background, as you guys do i'm pure let's say engineer right now i'm doing machine learning stuff I did in undergrad do some conditional stuff like the MRI."
0:07:14,0:07:15,41327c6b-fe54-449a-94aa-09f0b291dd58,But yeah.
0:07:16,0:07:26,41327c6b-fe54-449a-94aa-09f0b291dd58,So right now i'm in Turkey Ankara doing my industry work but planning to join and.
0:07:27,0:07:30,41327c6b-fe54-449a-94aa-09f0b291dd58,Go back to academia in Montreal in this fall.
0:07:32,0:07:36,41327c6b-fe54-449a-94aa-09f0b291dd58,To yeah continue doing research with the machine learning and medical imaging stuff.
0:07:38,0:07:50,41327c6b-fe54-449a-94aa-09f0b291dd58,yeah but vacation I don't know about that i've been stuck here for 10 years but i'm so excited about Montreal it's I mean my favorite place to go and see let's see how it goes.
0:07:51,0:07:53,41327c6b-fe54-449a-94aa-09f0b291dd58,yay so.
0:07:55,0:08:00,41327c6b-fe54-449a-94aa-09f0b291dd58," All right, you guys give me one second I might take out came i'll just take it."
0:08:07,0:08:08,29ed6943-18c9-4b1d-ab32-b1a83df77d84,How many students do you guys have for the people.
0:08:10,0:08:17,fc07718b-853d-4a8f-8fd8-3c08aa713ede,I have one student who has message at all on discord and I haven't online and he's.
0:08:18,0:08:19,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,So fun.
0:08:21,0:08:22,41327c6b-fe54-449a-94aa-09f0b291dd58,we're going.
0:08:25,0:08:33,a1958a61-a8ce-4002-9980-c66db01f95fe,To but i've had other people like message and just not mentioned the pre course so i'm not sure I could have been at least.
0:08:35,0:08:36,29ed6943-18c9-4b1d-ab32-b1a83df77d84,At least five.
0:08:38,0:08:44,41327c6b-fe54-449a-94aa-09f0b291dd58,yeah I go mostly all missing some students right in this court I missing I think three.
0:08:45,0:08:46,41327c6b-fe54-449a-94aa-09f0b291dd58,I mean.
0:08:46,0:08:50,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,I don't think we can see who is in our discourse anyway.
0:08:50,0:08:51,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,yeah it might not be there.
0:08:51,0:08:51,,Because.
0:08:53,0:08:54,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,they're probably all there.
0:08:55,0:08:57,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,You just can't see them because they're fine.
0:08:58,0:09:01,41327c6b-fe54-449a-94aa-09f0b291dd58," Oh yeah Oh, we have other visitors."
0:09:02,0:09:02,4541350f-a10b-4b53-892c-31b181194b68,hi everyone.
0:09:03,0:09:03,41327c6b-fe54-449a-94aa-09f0b291dd58,hey guys.
0:09:04,0:09:08,18148f2b-482a-4de9-8b89-79b42bdeb88a,I just arrived from the group project us Hello.
0:09:09,0:09:14,41327c6b-fe54-449a-94aa-09f0b291dd58,Nice nice Villa be working with our students in the same slot.
0:09:16,0:09:18,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,I think they work with all the students.
0:09:19,0:09:20,41327c6b-fe54-449a-94aa-09f0b291dd58,So dad not.
0:09:20,0:09:23,41327c6b-fe54-449a-94aa-09f0b291dd58,For particular slots for particular time zones.
0:09:24,0:09:26,18148f2b-482a-4de9-8b89-79b42bdeb88a,yeah for now we're just randomly assigned us.
0:09:27,0:09:29,41327c6b-fe54-449a-94aa-09f0b291dd58,Cocoa yeah.
0:09:29,0:09:46,a1958a61-a8ce-4002-9980-c66db01f95fe," i'm for the project, I was a little confused so there's there's 15 days on the schedule for the projects, but because our slot has the project before the tutorial like they were saying that we shouldn't meet during the time on the first day."
0:09:47,0:09:49,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,That we were you were.
0:09:49,0:09:53,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,Seeing very seeing that the project is before the tutorial.
0:09:54,0:09:54,a1958a61-a8ce-4002-9980-c66db01f95fe,Oh.
0:09:54,0:09:57,a1958a61-a8ce-4002-9980-c66db01f95fe,My calendar Where are you slide five.
0:09:57,0:09:58,41327c6b-fe54-449a-94aa-09f0b291dd58,yeah it's.
0:09:59,0:09:59,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,More.
0:10:01,0:10:04,41327c6b-fe54-449a-94aa-09f0b291dd58,it's not for its first project and tutorials.
0:10:05,0:10:07,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,Wait okay why isn't my calendar show that.
0:10:09,0:10:17,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,So on the fifth I see intro 1pm tutorials and then a break and then tutorials and unnatural.
0:10:17,0:10:20,a1958a61-a8ce-4002-9980-c66db01f95fe,I don't think project times are on the calendar.
0:10:20,0:10:21,41327c6b-fe54-449a-94aa-09f0b291dd58,yeah probably.
0:10:21,0:10:23,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,Are they not go ahead yeah.
0:10:23,0:10:24,41327c6b-fe54-449a-94aa-09f0b291dd58,it's before.
0:10:24,0:10:25,,You start like.
0:10:26,0:10:37,41327c6b-fe54-449a-94aa-09f0b291dd58," But, but still I think you need to enter to open the zoom link for them and do your like little guidance, the 3040 minutes."
0:10:39,0:10:50,41327c6b-fe54-449a-94aa-09f0b291dd58," yeah that that's very flexible like how we would like to you know, force them into the breakout rooms and you know, make them busy and start it's really up to you, but the tutorial."
0:10:51,0:11:03,41327c6b-fe54-449a-94aa-09f0b291dd58," is very straightforward like in terms of the system, most people are using so that we are going to practice that right now, how will we go actually through a couple of."
0:11:06,0:11:08,41327c6b-fe54-449a-94aa-09f0b291dd58,tactics will say to do it.
0:11:10,0:11:13,41327c6b-fe54-449a-94aa-09f0b291dd58," So, how would you like to start."
0:11:14,0:11:18,41327c6b-fe54-449a-94aa-09f0b291dd58,If yeah so the plan is to first.
0:11:19,0:11:24,41327c6b-fe54-449a-94aa-09f0b291dd58," Practice everybody, be able to create their own breakout rooms."
0:11:26,0:11:26,,So.
0:11:28,0:11:41,0b2e580e-b701-42a7-a355-253910aa8871,Can I follow up on Peters question real quick to that because if the if the project time slot is before the actual tutorials we have that three hour period designated towards walking them through kind of developing ideas.
0:11:42,0:11:59,0b2e580e-b701-42a7-a355-253910aa8871," Are are they expected to have some prior knowledge of what like ideas to come up with or how do we kind of like do we just have to present to them, I guess, on some of those ideas, because they seem to be at a disadvantage to not having any of the tutorial stuff before the project."
0:12:03,0:12:12,41327c6b-fe54-449a-94aa-09f0b291dd58,So so on the first day I don't think there is project meeting is there that does it start from for it doesn't start from first day right so.
0:12:13,0:12:15,41327c6b-fe54-449a-94aa-09f0b291dd58,The project meeting starts from second day.
0:12:17,0:12:18,41327c6b-fe54-449a-94aa-09f0b291dd58,So I think.
0:12:19,0:12:23,0b2e580e-b701-42a7-a355-253910aa8871," Okay, so we're just we're just skipping project first day and then second day that's one."
0:12:23,0:12:28,41327c6b-fe54-449a-94aa-09f0b291dd58," yeah so so you won't start directly project, you will start with the first day and then."
0:12:29,0:12:41,41327c6b-fe54-449a-94aa-09f0b291dd58," yeah and the first day is very helpful for the project selection, because I mean Connor was talking about types of model and what kind of questions to ask and stuff so it's very useful."
0:12:42,0:12:46,0b2e580e-b701-42a7-a355-253910aa8871,erdrich Thank you so So the first day actually second day.
0:12:46,0:13:04,41327c6b-fe54-449a-94aa-09f0b291dd58," meeting for the project is very important as a ta because that's the most common distribution probably will make because afterwards they will be mostly working with the project, yes, other than like very high level guidance, that they will be."
0:13:06,0:13:07,41327c6b-fe54-449a-94aa-09f0b291dd58," Asked from you, I guess."
0:13:09,0:13:11,41327c6b-fe54-449a-94aa-09f0b291dd58,yeah but who is the host right now.
0:13:16,0:13:19,41327c6b-fe54-449a-94aa-09f0b291dd58,But I don't seem no I don't.
0:13:20,0:13:21,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,need to claim host.
0:13:23,0:13:24,41327c6b-fe54-449a-94aa-09f0b291dd58," Okay, from."
0:13:26,0:13:28,41327c6b-fe54-449a-94aa-09f0b291dd58,That me.
0:13:28,0:13:29,fc07718b-853d-4a8f-8fd8-3c08aa713ede,How do we tell her host.
0:13:30,0:13:32,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,you'll you'll see like extra controls.
0:13:32,0:13:34,41327c6b-fe54-449a-94aa-09f0b291dd58,yeah do you see like the breakout.
0:13:34,0:13:35,41327c6b-fe54-449a-94aa-09f0b291dd58,options the.
0:13:37,0:13:39,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,thing I think currently no one's folks.
0:13:39,0:13:46,41327c6b-fe54-449a-94aa-09f0b291dd58," Oh, I see the problem you can not login with my zoom account that's the first mistake."
0:13:47,0:14:02,41327c6b-fe54-449a-94aa-09f0b291dd58,mistake is that you're supposed to enter like login to zoom with your normal account so that once you enter you're the host actually so I gotta leave and come back because i'm just like you there's no host.
0:14:03,0:14:10,687cf1e0-ac67-4506-830c-47ea2cb14d8b," All right, yes, you can claim host now right now, but using the password in the email sent to us."
0:14:12,0:14:12,41327c6b-fe54-449a-94aa-09f0b291dd58,yeah.
0:14:12,0:14:13,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,use the same.
0:14:14,0:14:14,687cf1e0-ac67-4506-830c-47ea2cb14d8b,yeah.
0:14:15,0:14:16,,It wasn't that hard.
0:14:17,0:14:24,a1958a61-a8ce-4002-9980-c66db01f95fe,If you open up the participants tab there's like a button at the bottom that says claim host man.
0:14:24,0:14:25,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,You gotta click.
0:14:25,0:14:27,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,click click the dots and then click.
0:14:29,0:14:31,a1958a61-a8ce-4002-9980-c66db01f95fe,yeah that's interesting.
0:14:31,0:14:33,41327c6b-fe54-449a-94aa-09f0b291dd58,I don't seem to be able to.
0:14:35,0:14:41,41327c6b-fe54-449a-94aa-09f0b291dd58," do so so under participants, on my own name, there should be dots."
0:14:41,0:14:45,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb," know at the at the bottom at the bottom, where it."
0:14:45,0:14:46,41327c6b-fe54-449a-94aa-09f0b291dd58,might be uh huh.
0:14:47,0:14:50,41327c6b-fe54-449a-94aa-09f0b291dd58,yeah no no feature So where is the key.
0:14:52,0:14:56,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb," So, in your email where they sent you your zoom link."
0:14:57,0:15:04,41327c6b-fe54-449a-94aa-09f0b291dd58,it's the same actually procedure like I did login in or entering.
0:15:07,0:15:11,41327c6b-fe54-449a-94aa-09f0b291dd58,Is it a permanent meeting ID or the permanent password or.
0:15:11,0:15:14,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,Not it's a different number.
0:15:17,0:15:18,fc07718b-853d-4a8f-8fd8-3c08aa713ede,I think it's called plane posts and they.
0:15:18,0:15:20,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,said yeah they just label students in China.
0:15:23,0:15:28,687cf1e0-ac67-4506-830c-47ea2cb14d8b,Maybe you can click on the sign into claim host maybe that works.
0:15:32,0:15:40,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb," So, once you click claim host key it'll ask you for this number right, and then you put in the they gave you a claim host key number it's a separate number."
0:15:41,0:15:44,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,In in the thing where they can resume.
0:15:52,0:15:54,fc07718b-853d-4a8f-8fd8-3c08aa713ede,Or maybe just faster to walk into.
0:15:55,0:15:59,41327c6b-fe54-449a-94aa-09f0b291dd58," yeah Okay, if I finally found it searching through my emails."
0:16:00,0:16:01,41327c6b-fe54-449a-94aa-09f0b291dd58,I got it.
0:16:02,0:16:06,41327c6b-fe54-449a-94aa-09f0b291dd58,So we should be able to do this every day right we don't need to log in with.
0:16:07,0:16:10,41327c6b-fe54-449a-94aa-09f0b291dd58,an automatic and we can each time claim host right.
0:16:12,0:16:12,41327c6b-fe54-449a-94aa-09f0b291dd58,cool.
0:16:13,0:16:15,41327c6b-fe54-449a-94aa-09f0b291dd58," All right, alright so."
0:16:18,0:16:24,41327c6b-fe54-449a-94aa-09f0b291dd58,What we should be doing is practicing the breakout room so i'll just rotate around the host.
0:16:25,0:16:28,41327c6b-fe54-449a-94aa-09f0b291dd58," So, each one can practice right."
0:16:29,0:16:45,41327c6b-fe54-449a-94aa-09f0b291dd58," So, first let me do it, I have been practicing for one year since last year, so i'll create how many we are let's say yeah let's create three breakout rooms, we will be at least three people in one."
0:16:48,0:16:56,41327c6b-fe54-449a-94aa-09f0b291dd58," So I first say assign automatically, but I can actually reorder."
0:17:00,0:17:07,41327c6b-fe54-449a-94aa-09f0b291dd58," I created two okay let's just do two so after I opened, I think you will see."
0:17:08,0:17:09,41327c6b-fe54-449a-94aa-09f0b291dd58,notification.
0:17:11,0:17:11,41327c6b-fe54-449a-94aa-09f0b291dd58,That.
0:17:12,0:17:19,41327c6b-fe54-449a-94aa-09f0b291dd58," says to go and join it will go join yours, so you can go and then."
0:17:21,0:17:24,41327c6b-fe54-449a-94aa-09f0b291dd58,i'll message you to like come back once the order.
0:17:58,0:18:04,41327c6b-fe54-449a-94aa-09f0b291dd58," Nice nice so close all the rooms, a timer started."
0:18:05,0:18:07,41327c6b-fe54-449a-94aa-09f0b291dd58,Did you see that timer as well.
0:18:07,0:18:09,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,yeah yeah cool.
0:18:09,0:18:11,41327c6b-fe54-449a-94aa-09f0b291dd58,So that's like a good way of.
0:18:12,0:18:15,41327c6b-fe54-449a-94aa-09f0b291dd58," You know, forcing students to finish up."
0:18:17,0:18:23,41327c6b-fe54-449a-94aa-09f0b291dd58,So that they come back exactly on time after one minute okay so.
0:18:24,0:18:32,41327c6b-fe54-449a-94aa-09f0b291dd58,let's see if everybody can recreate like practice this so let's start with.
0:18:33,0:18:34,41327c6b-fe54-449a-94aa-09f0b291dd58,heroin do you want to go next.
0:18:35,0:18:38,41327c6b-fe54-449a-94aa-09f0b291dd58,Okay i'll make you a host.
0:18:40,0:18:41,41327c6b-fe54-449a-94aa-09f0b291dd58,or host now.
0:18:51,0:18:55,41327c6b-fe54-449a-94aa-09f0b291dd58," This time, maybe we can create three if to lay target."
0:19:25,0:19:26,29ed6943-18c9-4b1d-ab32-b1a83df77d84,hey you haven't trouble.
0:19:50,0:19:50,41327c6b-fe54-449a-94aa-09f0b291dd58,fun.
0:19:52,0:19:52,41327c6b-fe54-449a-94aa-09f0b291dd58,So.
0:19:52,0:19:53,41327c6b-fe54-449a-94aa-09f0b291dd58,Who wants to.
0:19:53,0:19:54,41327c6b-fe54-449a-94aa-09f0b291dd58,go next.
0:19:56,0:19:58,41327c6b-fe54-449a-94aa-09f0b291dd58,Other side of the.
0:19:59,0:20:01,41327c6b-fe54-449a-94aa-09f0b291dd58,table so yeah.
0:20:03,0:20:05,41327c6b-fe54-449a-94aa-09f0b291dd58,anybody else would like to go.
0:20:07,0:20:08,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,yeah can go.
0:20:09,0:20:10,41327c6b-fe54-449a-94aa-09f0b291dd58,So I guess.
0:20:12,0:20:13,41327c6b-fe54-449a-94aa-09f0b291dd58,To make me host.
0:20:13,0:20:13,,yeah.
0:20:17,0:20:17,29ed6943-18c9-4b1d-ab32-b1a83df77d84,All right.
0:20:19,0:20:20,18148f2b-482a-4de9-8b89-79b42bdeb88a,well.
0:20:33,0:20:36,41327c6b-fe54-449a-94aa-09f0b291dd58," At this time, maybe you can also."
0:20:37,0:20:41,41327c6b-fe54-449a-94aa-09f0b291dd58,Try to rearrange us after.
0:20:43,0:21:01,41327c6b-fe54-449a-94aa-09f0b291dd58," We are automatically assigned because sometimes you want to actually play the God and arrange them after chance level, because you remember, they said, sometimes there are good programmers and you want to assign them equally distributed equally."
0:21:02,0:21:03,41327c6b-fe54-449a-94aa-09f0b291dd58,yeah.
0:21:59,0:22:01,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,You guys see my broadcasted message.
0:22:02,0:22:03,41327c6b-fe54-449a-94aa-09f0b291dd58,Right.
0:22:04,0:22:08,41327c6b-fe54-449a-94aa-09f0b291dd58," By the way, the recording doesn't happen in the breakout rooms right so that's a."
0:22:11,0:22:16,41327c6b-fe54-449a-94aa-09f0b291dd58," Safe space, you can comfort the students, you know if they are feeling."
0:22:18,0:22:19,41327c6b-fe54-449a-94aa-09f0b291dd58,uncomfortable.
0:22:20,0:22:23,4541350f-a10b-4b53-892c-31b181194b68," I was a broadcast message, because I didn't see anything actually."
0:22:24,0:22:26,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb," I just said so, but."
0:22:27,0:22:32,41327c6b-fe54-449a-94aa-09f0b291dd58,I saw it on the top like not in the chats but like.
0:22:32,0:22:34,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb," If, like a banner."
0:22:35,0:22:45,41327c6b-fe54-449a-94aa-09f0b291dd58,yeah so so it looks like only the host can send a message to everyone else the when you're in breakout your chat will be private to that breakout you cannot.
0:22:46,0:22:57,41327c6b-fe54-449a-94aa-09f0b291dd58," Even though it says to everyone, when you write only the students in your breakout room sees so it looks like they're kind of completely isolated in the breakout rooms."
0:22:59,0:23:00,41327c6b-fe54-449a-94aa-09f0b291dd58,Okay.
0:23:01,0:23:03,41327c6b-fe54-449a-94aa-09f0b291dd58,So anybody else wants to go.
0:23:09,0:23:10,41327c6b-fe54-449a-94aa-09f0b291dd58,cool.
0:23:12,0:23:13,41327c6b-fe54-449a-94aa-09f0b291dd58,Yes.
0:23:13,0:23:15,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,Wait it was Peter.
0:23:18,0:23:20,41327c6b-fe54-449a-94aa-09f0b291dd58," By a you said, your project yes."
0:23:21,0:23:25,41327c6b-fe54-449a-94aa-09f0b291dd58," yeah Okay, that is, I guess you don't need practice with this do you."
0:23:26,0:23:27,18148f2b-482a-4de9-8b89-79b42bdeb88a," know, I was just curious to try."
0:23:53,0:23:53,18148f2b-482a-4de9-8b89-79b42bdeb88a,What.
0:23:55,0:23:55,18148f2b-482a-4de9-8b89-79b42bdeb88a,Did.
0:23:56,0:23:57,18148f2b-482a-4de9-8b89-79b42bdeb88a,You want to sign.
0:24:01,0:24:03,18148f2b-482a-4de9-8b89-79b42bdeb88a,Because he divided people in.
0:24:04,0:24:10,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb," yeah those are the those are the rooms, that I made so you need to like reset it."
0:24:12,0:24:14,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb," And then, like you can put somewhere."
0:24:15,0:24:16,18148f2b-482a-4de9-8b89-79b42bdeb88a,to sort of.
0:24:17,0:24:17,fa3e5f86-2b2d-49aa-a214-9a84ff89e3bb,make sense.
0:24:18,0:24:18,18148f2b-482a-4de9-8b89-79b42bdeb88a,yeah yeah.
0:24:18,0:24:19,,Thank you.
0:24:29,0:24:30,41327c6b-fe54-449a-94aa-09f0b291dd58,Okay okay.
0:24:33,0:24:48,41327c6b-fe54-449a-94aa-09f0b291dd58," Okay, so so so like like let's rest illegal you got dizzy too much switching around so remember that yeah too much too too quick searching is also not."
0:24:48,0:25:11,41327c6b-fe54-449a-94aa-09f0b291dd58," perfect and also, it will be better that if you create a breakout room I think personally it's better to keep with the same people throughout at least one session like when you start a session it's like one and a half hours like one or two hours, then."
